Pos   	     A	     C	     G	     T     N	Clean A	Clean C	Clean G	Clean T	Clean N
58   	34.00%	39.00%	14.00%	13.00%	 0.00%	40.00%	28.00%	16.00%	16.00%	 0.00%
59   	18.00%	24.00%	32.00%	26.00%	 0.00%	20.00%	28.00%	17.33%	34.67%	 0.00%
60   	25.00%	28.00%	33.00%	14.00%	 0.00%	25.33%	37.33%	18.67%	18.67%	 0.00%
61   	29.00%	23.00%	18.00%	30.00%	 0.00%	34.67%	28.00%	20.00%	17.33%	 0.00%
62   	40.00%	29.00%	15.00%	16.00%	 0.00%	45.33%	16.00%	20.00%	18.67%	 0.00%
63   	21.00%	19.00%	17.00%	43.00%	 0.00%	24.00%	22.67%	21.33%	32.00%	 0.00%
64   	27.00%	14.00%	22.00%	37.00%	 0.00%	32.00%	18.67%	25.33%	24.00%	 0.00%
65   	47.00%	12.00%	18.00%	23.00%	 0.00%	36.00%	16.00%	24.00%	24.00%	 0.00%
66   	33.00%	16.00%	32.00%	19.00%	 0.00%	38.67%	18.67%	17.33%	25.33%	 0.00%
67   	25.00%	13.00%	34.00%	28.00%	 0.00%	32.00%	14.67%	20.00%	33.33%	 0.00%
68   	48.00%	22.00%	18.00%	12.00%	 0.00%	37.33%	28.00%	18.67%	16.00%	 0.00%
69   	42.00%	21.00%	15.00%	22.00%	 0.00%	29.33%	22.67%	20.00%	28.00%	 0.00%
70   	20.00%	16.00%	46.00%	18.00%	 0.00%	21.33%	21.33%	34.67%	22.67%	 0.00%
71   	34.00%	20.00%	 9.00%	37.00%	 0.00%	22.67%	21.33%	 6.67%	49.33%	 0.00%
72   	29.00%	25.00%	18.00%	28.00%	 0.00%	34.67%	 8.00%	22.67%	34.67%	 0.00%
73   	29.00%	24.00%	23.00%	24.00%	 0.00%	14.67%	29.33%	26.67%	29.33%	 0.00%
74   	48.00%	11.00%	11.00%	30.00%	 0.00%	37.33%	10.67%	12.00%	40.00%	 0.00%
75   	48.00%	 8.00%	19.00%	25.00%	 0.00%	37.33%	10.67%	22.67%	29.33%	 0.00%
76   	22.00%	12.00%	15.00%	51.00%	 0.00%	26.67%	13.33%	17.33%	42.67%	 0.00%
77   	27.00%	23.00%	32.00%	18.00%	 0.00%	28.00%	30.67%	20.00%	21.33%	 0.00%
78   	29.00%	 6.00%	15.00%	50.00%	 0.00%	36.00%	 8.00%	14.67%	41.33%	 0.00%
79   	44.00%	16.00%	25.00%	15.00%	 0.00%	32.00%	20.00%	29.33%	18.67%	 0.00%
80   	30.00%	33.00%	23.00%	14.00%	 0.00%	36.00%	21.33%	28.00%	14.67%	 0.00%
81   	26.00%	16.00%	33.00%	25.00%	 0.00%	33.33%	18.67%	17.33%	30.67%	 0.00%
82   	23.00%	37.00%	17.00%	23.00%	 0.00%	28.00%	24.00%	17.33%	30.67%	 0.00%
83   	28.00%	22.00%	25.00%	25.00%	 0.00%	14.67%	26.67%	29.33%	29.33%	 0.00%
84   	29.00%	14.00%	37.00%	20.00%	 0.00%	36.00%	12.00%	25.33%	26.67%	 0.00%
85   	23.00%	23.00%	25.00%	29.00%	 0.00%	28.00%	 5.33%	29.33%	37.33%	 0.00%
86   	25.00%	27.00%	 9.00%	39.00%	 0.00%	30.67%	30.67%	10.67%	28.00%	 0.00%
87   	30.00%	23.00%	30.00%	17.00%	 0.00%	40.00%	28.00%	13.33%	18.67%	 0.00%
88   	37.00%	13.00%	23.00%	27.00%	 0.00%	24.00%	14.67%	26.67%	34.67%	 0.00%
89   	14.00%	30.00%	22.00%	34.00%	 0.00%	17.33%	33.33%	29.33%	20.00%	 0.00%
90   	36.00%	23.00%	19.00%	22.00%	 0.00%	24.00%	29.33%	24.00%	22.67%	 0.00%
