Pos   	     A	     C	     G	     T	     N	Clean A	Clean C	Clean G	Clean T	Clean N
63   	20.00%	35.00%	15.00%	30.00%	 0.00%	21.33%	21.33%	17.33%	40.00%	 0.00%
64   	32.00%	10.00%	45.00%	13.00%	 0.00%	40.00%	10.67%	33.33%	16.00%	 0.00%
65   	20.00%	17.00%	21.00%	42.00%	 0.00%	25.33%	20.00%	22.67%	32.00%	 0.00%
66   	19.00%	22.00%	17.00%	42.00%	 0.00%	20.00%	28.00%	20.00%	32.00%	 0.00%
67   	29.00%	33.00%	21.00%	17.00%	 0.00%	33.33%	20.00%	24.00%	22.67%	 0.00%
68   	32.00%	15.00%	14.00%	39.00%	 0.00%	41.33%	18.67%	13.33%	26.67%	 0.00%
69   	21.00%	26.00%	31.00%	22.00%	 0.00%	26.67%	33.33%	14.67%	25.33%	 0.00%
70   	28.00%	17.00%	18.00%	37.00%	 0.00%	34.67%	22.67%	20.00%	22.67%	 0.00%
71   	19.00%	18.00%	38.00%	25.00%	 0.00%	22.67%	22.67%	22.67%	32.00%	 0.00%
72   	44.00%	13.00%	22.00%	21.00%	 0.00%	34.67%	14.67%	26.67%	24.00%	 0.00%
73   	33.00%	14.00%	28.00%	25.00%	 0.00%	44.00%	18.67%	 9.33%	28.00%	 0.00%
74   	20.00%	44.00%	14.00%	22.00%	 0.00%	25.33%	32.00%	14.67%	28.00%	 0.00%
75   	17.00%	42.00%	15.00%	26.00%	 0.00%	22.67%	28.00%	16.00%	33.33%	 0.00%
76   	36.00%	16.00%	16.00%	32.00%	 0.00%	24.00%	20.00%	17.33%	38.67%	 0.00%
77   	32.00%	25.00%	15.00%	28.00%	 0.00%	17.33%	32.00%	18.67%	32.00%	 0.00%
78   	35.00%	14.00%	33.00%	18.00%	 0.00%	44.00%	16.00%	16.00%	24.00%	 0.00%
79   	26.00%	20.00%	31.00%	23.00%	 0.00%	33.33%	21.33%	16.00%	29.33%	 0.00%
80   	50.00%	14.00%	15.00%	21.00%	 0.00%	38.67%	18.67%	18.67%	24.00%	 0.00%
81   	25.00%	 9.00%	33.00%	33.00%	 0.00%	30.67%	10.67%	18.67%	40.00%	 0.00%
82   	25.00%	26.00%	23.00%	26.00%	 0.00%	26.67%	32.00%	30.67%	10.67%	 0.00%
83   	18.00%	16.00%	26.00%	40.00%	 0.00%	20.00%	18.67%	33.33%	28.00%	 0.00%
84   	16.00%	15.00%	32.00%	37.00%	 0.00%	18.67%	17.33%	18.67%	45.33%	 0.00%
85   	18.00%	32.00%	27.00%	23.00%	 0.00%	20.00%	18.67%	34.67%	26.67%	 0.00%
86   	21.00%	13.00%	26.00%	40.00%	 0.00%	25.33%	13.33%	32.00%	29.33%	 0.00%
87   	20.00%	18.00%	33.00%	29.00%	 0.00%	24.00%	20.00%	20.00%	36.00%	 0.00%
88   	25.00%	34.00%	19.00%	22.00%	 0.00%	33.33%	20.00%	22.67%	24.00%	 0.00%
89   	18.00%	23.00%	42.00%	17.00%	 0.00%	21.33%	29.33%	28.00%	21.33%	 0.00%
90   	23.00%	18.00%	22.00%	37.00%	 0.00%	26.67%	21.33%	28.00%	24.00%	 0.00%
91   	41.00%	12.00%	22.00%	25.00%	 0.00%	30.67%	10.67%	26.67%	32.00%	 0.00%
92   	24.00%	31.00%	20.00%	25.00%	 0.00%	30.67%	17.33%	22.67%	29.33%	 0.00%
93   	43.00%	15.00%	12.00%	30.00%	 0.00%	30.67%	18.67%	14.67%	36.00%	 0.00%
94   	26.00%	22.00%	12.00%	40.00%	 0.00%	30.67%	26.67%	13.33%	29.33%	 0.00%
95   	42.00%	27.00%	12.00%	19.00%	 0.00%	32.00%	30.67%	14.67%	22.67%	 0.00%
96   	39.00%	25.00%	17.00%	19.00%	 0.00%	26.67%	33.33%	20.00%	20.00%	 0.00%
97   	29.00%	31.00%	18.00%	22.00%	 0.00%	36.00%	16.00%	20.00%	28.00%	 0.00%
98   	19.00%	23.00%	18.00%	40.00%	 0.00%	20.00%	29.33%	22.67%	28.00%	 0.00%
99   	18.00%	13.00%	44.00%	25.00%	 0.00%	22.67%	14.67%	30.67%	32.00%	 0.00%
100  	30.00%	26.00%	22.00%	22.00%	 0.00%	36.00%	10.67%	25.33%	28.00%	 0.00%
