Pos   	     A	     C	     G	     T	     N	Clean A	Clean C	Clean G	Clean T	Clean N
58   	26.82%	32.21%	20.25%	20.72%	 0.00%	32.46%	21.27%	21.20%	25.08%	 0.00%
59   	38.80%	23.67%	13.78%	23.76%	 0.00%	29.05%	28.49%	15.92%	26.54%	 0.00%
60   	27.03%	13.92%	21.19%	37.85%	 0.00%	32.71%	16.66%	21.84%	28.79%	 0.00%
61   	25.84%	18.31%	27.84%	28.01%	 0.00%	29.56%	21.40%	16.39%	32.65%	 0.00%
62   	22.44%	14.98%	18.62%	43.96%	 0.00%	27.33%	17.07%	19.67%	35.93%	 0.00%
63   	20.70%	30.57%	18.10%	30.64%	 0.00%	23.86%	18.84%	20.02%	37.28%	 0.00%
64   	29.05%	14.64%	37.57%	18.73%	 0.00%	34.61%	15.50%	28.01%	21.87%	 0.00%
65   	25.92%	14.35%	18.20%	41.53%	 0.00%	30.10%	16.87%	20.19%	32.84%	 0.00%
66   	21.71%	23.70%	17.20%	37.38%	 0.00%	24.79%	28.08%	18.85%	28.28%	 0.00%
67   	28.35%	29.61%	16.50%	25.54%	 0.00%	33.59%	18.33%	17.89%	30.19%	 0.00%
68   	32.27%	16.58%	16.04%	35.12%	 0.00%	39.19%	19.66%	15.51%	25.64%	 0.00%
69   	23.79%	25.02%	30.89%	20.29%	 0.00%	27.59%	29.94%	19.73%	22.73%	 0.00%
70   	28.19%	16.05%	20.30%	35.47%	 0.00%	33.67%	19.34%	21.65%	25.34%	 0.00%
71   	18.88%	16.47%	37.07%	27.58%	 0.00%	21.98%	19.26%	27.08%	31.69%	 0.00%
72   	36.58%	23.95%	18.00%	21.47%	 0.00%	27.08%	28.36%	20.05%	24.51%	 0.00%
73   	30.09%	16.78%	26.06%	27.07%	 0.00%	36.62%	19.76%	12.48%	31.14%	 0.00%
74   	27.76%	31.35%	14.12%	26.77%	 0.00%	32.66%	19.73%	15.65%	31.95%	 0.00%
