Pos   	     A	     C	     G	     T     N	Clean A	Clean C	Clean G	Clean T	Clean N
58   	30.02%	30.41%	18.54%	21.03%	 0.00%	32.99%	20.13%	21.34%	25.54%	 0.00%
59   	22.55%	26.05%	29.19%	22.21%	 0.00%	26.04%	30.66%	16.41%	26.89%	 0.00%
60   	28.59%	24.83%	27.80%	18.78%	 0.00%	31.49%	30.47%	15.53%	22.50%	 0.00%
61   	27.36%	18.61%	17.33%	36.70%	 0.00%	32.17%	20.27%	19.78%	27.79%	 0.00%
62   	32.65%	28.04%	15.68%	23.63%	 0.00%	36.12%	17.23%	18.35%	28.30%	 0.00%
63   	21.38%	21.19%	20.45%	36.98%	 0.00%	23.63%	24.96%	24.13%	27.28%	 0.00%
64   	28.10%	18.65%	14.90%	38.35%	 0.00%	31.63%	21.65%	16.92%	29.81%	 0.00%
65   	42.90%	11.81%	19.00%	26.29%	 0.00%	34.60%	13.99%	22.11%	29.29%	 0.00%
66   	20.89%	18.97%	34.75%	25.39%	 0.00%	23.51%	22.44%	22.92%	31.13%	 0.00%
67   	24.15%	16.99%	25.87%	32.99%	 0.00%	27.57%	19.76%	14.14%	38.53%	 0.00%
68   	40.54%	21.67%	17.08%	20.71%	 0.00%	30.42%	26.37%	18.68%	24.54%	 0.00%
69   	36.50%	19.77%	21.19%	22.53%	 0.00%	25.90%	21.76%	25.27%	27.06%	 0.00%
70   	26.65%	21.34%	29.95%	22.06%	 0.00%	29.95%	25.93%	17.89%	26.24%	 0.00%
71   	42.05%	16.33%	12.17%	29.45%	 0.00%	34.08%	17.64%	12.20%	36.09%	 0.00%
72   	27.40%	29.09%	15.59%	27.91%	 0.00%	30.94%	17.79%	17.34%	33.93%	 0.00%
73   	37.67%	17.77%	23.11%	21.45%	 0.00%	28.24%	20.78%	26.51%	24.47%	 0.00%
74   	42.56%	15.89%	14.60%	26.95%	 0.00%	33.75%	16.80%	16.50%	32.96%	 0.00%
75   	41.01%	 9.54%	17.00%	32.45%	 0.00%	31.94%	11.17%	18.88%	38.01%	 0.00%
76   	25.02%	15.13%	16.27%	43.58%	 0.00%	30.00%	16.68%	17.33%	35.99%	 0.00%
77   	27.61%	18.87%	31.06%	22.46%	 0.00%	31.21%	22.11%	20.39%	26.29%	 0.00%
78   	29.15%	17.21%	14.05%	39.59%	 0.00%	33.76%	20.58%	15.71%	29.95%	 0.00%
79   	37.22%	18.11%	22.43%	22.25%	 0.00%	26.76%	20.97%	26.13%	26.14%	 0.00%
80   	24.55%	33.15%	20.35%	21.95%	 0.00%	27.97%	23.38%	22.65%	26.00%	 0.00%
81   	29.66%	16.36%	31.27%	22.71%	 0.00%	35.71%	18.02%	19.46%	26.80%	 0.00%
82   	22.89%	32.38%	19.63%	25.10%	 0.00%	26.87%	20.81%	21.71%	30.61%	 0.00%
83   	31.24%	22.07%	18.74%	27.95%	 0.00%	20.96%	25.97%	21.10%	31.97%	 0.00%
84   	28.16%	16.91%	28.49%	26.43%	 0.00%	33.98%	16.97%	17.19%	31.86%	 0.00%
85   	22.04%	23.57%	24.77%	29.62%	 0.00%	26.64%	10.37%	28.23%	34.75%	 0.00%
86   	24.10%	24.31%	16.17%	35.42%	 0.00%	28.76%	26.14%	18.72%	26.37%	 0.00%
87   	24.93%	20.72%	31.58%	22.76%	 0.00%	29.69%	22.97%	20.80%	26.54%	 0.00%
88   	37.52%	14.58%	18.90%	29.00%	 0.00%	27.81%	16.30%	21.40%	34.49%	 0.00%
89   	22.44%	15.53%	21.12%	40.91%	 0.00%	26.45%	16.81%	25.56%	31.19%	 0.00%
